chunk_size,chunk_overlap,top_k,num_chunks,avg_context_precision,avg_context_recall,avg_hit_rate,f1_score
256,25,3,273981,0.8138891502785767,0.8770973193645477,1.0,0.8443118910583433
256,25,5,273981,0.783445850081639,0.8694203507900238,1.0,0.8241971013065135
512,50,3,148674,0.8313770647161511,0.8966108250617981,1.0,0.862762615805592
512,50,5,148674,0.7949857475950715,0.8745537602901459,1.0,0.8328737015837571
512,50,10,148674,0.7563723357995932,0.8402166891098023,1.0,0.7960929829839543
1024,100,5,102523,0.803593729699665,0.8611634874343872,1.0,0.8313831850387412
1024,100,10,102523,0.7649677088411353,0.8232440781593323,1.0,0.7930367239950367
